"id";"uen";"oficina_comercial";"cod_motivo";"motivo";"vendedor";"cod_cliente";"cliente";"rut";"domicilio";"camion";"carga";"sector";"tf";"anula_rebaja";"categoria";"fecha_factura";"facturas";"ncr";"total";"producto";"suma_de_cajas";"empresario";"fecha_subida";"fecha_real"
"97485";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108628";"20712972";"61334";"870195";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97486";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108628";"20712972";"61334";"870746";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97487";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108629";"20712973";"88191";"870235";"20";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97488";"COMERCIAL CCU S";"9660 OF. LOS AN";"180";"Prod Mal Estado";"96601";"557590";"CENCOSUD RETAIL";"81201000-K          ";"VILLAGRAN 558                                ";"S22";"2";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108592";"20712959";"4841";"870235";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97489";"COMERCIAL CCU S";"9660 OF. LOS AN";"340";"No Esta Encarga";"96601";"722624";"CENCOSUD RETAIL";"81201000-K          ";"AVDA ERCILLA 190                             ";"S24";"2";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108641";"20712975";"24271";"445770";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97490";"COMERCIAL CCU S";"9660 OF. LOS AN";"400";"Prod Mal Car Pt";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Anula ";"CERVEZAS       ";"2018-04-02";"83108615";"20712965";"38172";"450464";"5";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97491";"COMERCIAL CCU S";"9660 OF. LOS AN";"400";"Prod Mal Car Pt";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108616";"20712966";"23320";"445491";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97492";"COMERCIAL CCU S";"9660 OF. LOS AN";"400";"Prod Mal Car Pt";"96601";"686963";"RENDIC HNOS  S.";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S24";"1";"0";"CRED PROD      ";"Rebaja";"VINOS          ";"2018-04-02";"83108584";"20712958";"23517";"700447";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97493";"COMERCIAL CCU S";"9660 OF. LOS AN";"400";"Prod Mal Car Pt";"96601";"722624";"CENCOSUD RETAIL";"81201000-K          ";"AVDA ERCILLA 190                             ";"S24";"2";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108639";"20712974";"39804";"445478";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97494";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557637";"ALVI SUPERMERC.";"96618540-6          ";"VILLAGRAN 471                                ";"S22";"3";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108605";"20712963";"22537";"4770";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97495";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557637";"ALVI SUPERMERC.";"96618540-6          ";"VILLAGRAN 471                                ";"S22";"3";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108605";"20712963";"22537";"870176";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97496";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557637";"ALVI SUPERMERC.";"96618540-6          ";"VILLAGRAN 471                                ";"S22";"3";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108605";"20712963";"22537";"870177";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97497";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108613";"20712964";"21576";"870056";"3";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97498";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108617";"20712967";"79799";"445462";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97499";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108617";"20712967";"79799";"445478";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97500";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"713123";"RENDIC HERMANOS";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S16";"1";"0";"CRED PROD      ";"Anula ";"GASEOSAS       ";"2018-04-02";"83108704";"20712994";"13166";"870782";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97501";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"713123";"RENDIC HERMANOS";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S16";"1";"0";"CRED PROD      ";"Anula ";"GASEOSAS       ";"2018-04-02";"83108704";"20712994";"13166";"870789";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97502";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"713123";"RENDIC HERMANOS";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S16";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108701";"20712993";"15471";"1663";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97503";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"713123";"RENDIC HERMANOS";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S16";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108701";"20712993";"15471";"4770";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97504";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108664";"20712981";"31890";"592";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97505";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108664";"20712981";"31890";"450585";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97506";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"ENERGETICA     ";"2018-04-02";"83108666";"20712983";"276614";"870400";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97507";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"ENERGETICA     ";"2018-04-02";"83108666";"20712983";"276614";"870401";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97508";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"1664";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97509";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"1667";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97510";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"4770";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97511";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"4785";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97512";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"4792";"23";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97513";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"870802";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97514";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108666";"20712983";"276614";"875148";"5";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97515";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108665";"20712982";"25521";"870780";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97516";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108665";"20712982";"25521";"870798";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97517";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108665";"20712982";"25521";"870800";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97518";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108668";"20712984";"173472";"445427";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97519";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Rebaja";"PISCO          ";"2018-04-02";"83108668";"20712984";"173472";"445478";"4";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97520";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108645";"20712976";"7468";"1321";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97521";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108650";"20712977";"37347";"1663";"3";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97522";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108650";"20712977";"37347";"1667";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97523";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108654";"20712978";"33133";"4785";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97524";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108654";"20712978";"33133";"870115";"6";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97525";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108658";"20712979";"6625";"870215";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97526";"COMERCIAL CCU S";"9660 OF. LOS AN";"405";"PROD FUERA FECH";"96609";"557365";"SUPER 10 S.A.  ";"76012833-3          ";"CERRO EL PLOMO PISO 7 AL 12 5680             ";"S21";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108660";"20712980";"89825";"875147";"21";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97527";"COMERCIAL CCU S";"9660 OF. LOS AN";"410";"Prod Mal Estado";"96601";"830678";"WALMART CHILE  ";"76042014-K          ";"AV ALCAZAR 635                               ";"S29";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108679";"20712991";"10950";"450600";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97528";"COMERCIAL CCU S";"9660 OF. LOS AN";"410";"Prod Mal Estado";"96601";"898458";"WALMART CHILE  ";"76042014-K          ";"CALLE LAS AZALEAS LOS ANGELES 604            ";"S14";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108683";"20712992";"8966";"450328";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97529";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108619";"20712968";"77758";"450256";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97530";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108619";"20712968";"77758";"450304";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97531";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108619";"20712968";"77758";"450505";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97532";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108619";"20712968";"77758";"450630";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97533";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108625";"20712969";"100444";"935";"6";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97534";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108625";"20712969";"100444";"1621";"3";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97535";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108625";"20712969";"100444";"1989";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97536";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"ISOTONICA      ";"2018-04-02";"83108625";"20712969";"100444";"870754";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97537";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108626";"20712970";"9691";"1531";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97538";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S13";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108626";"20712970";"9691";"1532";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97539";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557649";"WALMART CHILE  ";"76042014-K          ";"AV.PTE EDO FREI MONTALVA 8301                ";"S22";"1";"0";"CRED PROD      ";"Rebaja";"CERVEZAS       ";"2018-04-02";"83108600";"20712961";"919766";"450600";"84";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97540";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"557649";"WALMART CHILE  ";"76042014-K          ";"AV.PTE EDO FREI MONTALVA 8301                ";"S22";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108603";"20712962";"82699";"1327";"11";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97541";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"713123";"RENDIC HERMANOS";"81537600-5          ";"CERRO DEL PLOMO 5680                         ";"S16";"1";"0";"CRED PROD      ";"Rebaja";"MINERALES      ";"2018-04-02";"83108711";"20712995";"3726";"870662";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97542";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Anula ";"CERVEZAS       ";"2018-04-02";"83108674";"20712989";"583967";"592";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97543";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Anula ";"CERVEZAS       ";"2018-04-02";"83108674";"20712989";"583967";"450025";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97544";"COMERCIAL CCU S";"9660 OF. LOS AN";"420";"Can Cj No Pedid";"96601";"763460";"HIPERMERCADOS T";"78627210-6          ";"MENDOZA 535 LOCAL H 100 535                  ";"S11";"1";"0";"CRED PROD      ";"Anula ";"CERVEZAS       ";"2018-04-02";"83108674";"20712989";"583967";"450235";"34";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
